date,avg_price,ma_temp,ma_min_temp,ma_max_temp,ma_field,cons_price,agr_price,ma_rain
2015/06/01,2540,8.272368421,2.910526316,14.10065789,,,,2.511842105
2015/06/02,2560,8.442105263,3.067105263,14.28618421,,,,2.527631579
2015/06/03,2500,8.605921053,3.221052632,14.46052632,,,,2.525
2015/06/04,2500,8.758552632,3.363157895,14.62105263,,,,2.525
2015/06/05,2460,8.849342105,3.463157895,14.69276316,,,,2.549342105
2015/06/06,2460,8.946710526,3.559868421,14.79473684,,,,2.521052632
2015/06/07,2460,9.067763158,3.675657895,14.92368421,,,,2.488157895
2015/06/08,2560,9.215789474,3.817763158,15.07171053,,,,2.500657895
2015/06/09,2580,9.371710526,3.972368421,15.23157895,,,,2.5
2015/06/10,2540,9.524342105,4.111842105,15.39934211,,,,2.499342105
2015/06/11,2480,9.657894737,4.253289474,15.52236842,,,,2.5125
2015/06/12,2480,9.801973684,4.393421053,15.67434211,,,,2.516447368
2015/06/13,2480,9.957894737,4.548684211,15.82697368,,,,2.508552632
2015/06/14,2480,10.09473684,4.703289474,15.95065789,,,,2.561842105
2015/06/15,2480,10.225,4.827631579,16.09407895,,,,2.523026316
2015/06/16,2520,10.35065789,4.959210526,16.21842105,,,,2.523684211
2015/06/17,2480,10.47828947,5.092763158,16.34934211,,,,2.561184211
2015/06/18,2480,10.62894737,5.240131579,16.50855263,,,,2.567763158
2015/06/19,2440,10.77236842,5.402631579,16.64868421,,,,2.582236842
2015/06/20,2440,10.88092105,5.523684211,16.75131579,,,,2.664473684
2015/06/21,2440,11.01513158,5.667763158,16.87894737,,,,2.661842105
2015/06/22,2500,11.13881579,5.782894737,17.01578947,,,,2.663157895
2015/06/23,2430,11.26842105,5.896052632,17.16315789,,,,2.650657895
2015/06/24,2370,11.40526316,6.0375,17.29473684,,,,2.751315789
2015/06/25,2370,11.53092105,6.173684211,17.40657895,,,,2.854605263
2015/06/26,2270,11.64276316,6.305263158,17.51052632,,,,3.020394737
2015/06/27,2270,11.74407895,6.405921053,17.61447368,,,,3.030263158
2015/06/28,2270,11.88355263,6.544736842,17.76184211,,,,3.007236842
2015/06/29,2370,12.04802632,6.701973684,17.92828947,,,,3.001973684
2015/06/30,2330,12.18421053,6.848684211,18.06513158,,,,3.086842105
2015/07/01,2330,12.33026316,6.990131579,18.22302632,,,,3.090131579
2015/07/02,2280,12.49342105,7.144736842,18.38947368,,,,3.094736842
2015/07/03,2180,12.65,7.309868421,18.53618421,,,,3.105921053
2015/07/04,2180,12.78815789,7.448026316,18.66118421,,,,3.103289474
2015/07/05,2180,12.92368421,7.590789474,18.78684211,,,,3.125657895
2015/07/06,2240,13.05986842,7.726973684,18.92302632,,,,3.132894737
2015/07/07,2240,13.18486842,7.859868421,19.03947368,,,,3.252631579
2015/07/08,2240,13.31381579,8.003289474,19.14671053,,,,3.417763158
2015/07/09,2240,13.44802632,8.151315789,19.27368421,,,,3.545394737
2015/07/10,2280,13.64210526,8.3375,19.45592105,,,,3.541447368
2015/07/11,2280,13.83552632,8.548684211,19.65131579,,,,3.617105263
2015/07/12,2280,13.97565789,8.713157895,19.76973684,,,,3.918421053
2015/07/13,2300,14.10526316,8.8625,19.88157895,,,,3.947368421
2015/07/14,2260,14.26513158,9.019736842,20.04868421,,,,3.951973684
2015/07/15,2160,14.43157895,9.194736842,20.21710526,,,,4
2015/07/16,2160,14.56513158,9.352631579,20.33223684,,,,4.005921053
2015/07/17,2160,14.66710526,9.469736842,20.43026316,,,,3.9625
2015/07/18,2160,14.78223684,9.574342105,20.5625,,,,3.909868421
2015/07/19,2160,14.91578947,9.694736842,20.70723684,,,,3.913815789
2015/07/20,2180,15.05986842,9.835526316,20.85657895,,,,3.930921053
2015/07/21,2110,15.20657895,9.994078947,20.99013158,,,,3.940789474
2015/07/22,1990,15.34736842,10.16578947,21.11513158,,,,3.967763158
2015/07/23,1950,15.47302632,10.29473684,21.24868421,,,,4.002631579
2015/07/24,1950,15.59802632,10.44078947,21.35526316,,,,4.120394737
2015/07/25,1950,15.74934211,10.59736842,21.49144737,,,,4.260526316
2015/07/26,1950,15.90328947,10.74868421,21.64013158,,,,4.356578947
2015/07/27,1990,16.04210526,10.90328947,21.76644737,,,,4.369078947
2015/07/28,1950,16.19539474,11.06644737,21.92039474,,,,4.381578947
2015/07/29,1910,16.375,11.24868421,22.09934211,,,,4.430263158
2015/07/30,1950,16.54802632,11.43289474,22.27368421,,,,4.407894737
2015/07/31,2030,16.71184211,11.58815789,22.44605263,,,,4.416447368
2015/08/01,2030,16.86842105,11.76052632,22.59144737,,,,4.481578947
2015/08/02,2030,17.02039474,11.90986842,22.74671053,,,,4.515789474
2015/08/03,2050,17.20131579,12.08421053,22.93355263,,,,4.519078947
2015/08/04,1970,17.37960526,12.27171053,23.10657895,,,,4.540131579
2015/08/05,1970,17.54144737,12.44671053,23.25723684,,,,4.540789474
2015/08/06,1970,17.69736842,12.61184211,23.40197368,,,,4.544078947
2015/08/07,2010,17.84144737,12.77763158,23.53355263,,,,4.604605263
2015/08/08,2010,17.98947368,12.95263158,23.68026316,,,,4.673684211
2015/08/09,2010,18.17565789,13.13684211,23.87565789,,,,4.671710526
2015/08/10,2010,18.33223684,13.30657895,24.03026316,,,,4.671710526
2015/08/11,1970,18.47171053,13.4625,24.15921053,,,,4.773684211
2015/08/12,2020,18.59078947,13.59407895,24.27039474,,,,4.8
